0000000000 -> 

LH 436
HL 940	\
LH 444	- 1384
HL 944	\
LH 440	- 1384
HL 940	\
LH 440	- 1380
HL 948
LH 436
HL 944
LH 440
HL 944
LH 440
HL 944
LH 440
HL 944
LH 440
HL 944
LH 440
HL 944
LH 440
HL 944
LH 436
HL 948
LH 436
HL 16156
1111111111

LH 432
HL 492
LH 892
HL 492
LH 892
HL 492
LH 896
HL 488
LH 892
HL 492
LH 896
HL 492
LH 892
HL 492
LH 892
HL 492
LH 892
HL 492
LH 892
HL 492
LH 892
HL 956
LH 428
HL 956
LH 428
HL 16168

0000011111

LH 436
HL 948
LH 436
HL 948
LH 436
HL 952
LH 432
HL 948
LH 436
HL 948
LH 436
HL 488
LH 896
HL 488
LH 900
HL 484
LH 896
HL 492
LH 896
HL 488
LH 896
HL 948
LH 436
HL 952
LH 432
HL 16164
